sensor,temperature
4,23.0558
4,23.0362
4,22.9872
4,19.8806
4,19.8512
4,19.8316
4,19.812
4,19.7924
4,19.7924
4,19.7826
4,19.7532
4,19.763
4,19.7434
4,19.7336
4,19.7336
4,19.7238
4,19.7336
4,19.714
4,19.7336
4,19.7434
4,19.714
4,19.714
4,19.6944
4,19.6944
4,19.6944
4,19.6846
4,19.665
4,19.6748
4,19.6748
4,19.6748
4,19.6748
4,19.6748
4,19.6552
4,19.6454
4,19.6454
4,19.6356
4,19.6356
4,19.6356
4,19.6356
4,19.6356
4,19.6356
4,19.6356
4,19.6454
4,19.6356
4,19.6454
4,19.6356
4,19.6258
4,19.6356
4,19.6356
4,19.6258
4,19.616
4,19.6258
4,19.616
4,19.6356
4,19.616
4,19.616
4,19.616
4,19.6062
4,19.616
4,19.5964
4,19.5964
4,19.5964
4,19.6062
4,19.5964
4,19.5964
4,19.5964
4,19.5866
4,19.5768
4,19.5768
4,19.5572
4,19.5572
4,19.5474
4,19.5572
4,19.5572
4,19.5474
4,19.5572
4,19.5376
4,19.5474
4,19.5376
4,19.5376
4,19.5376
4,19.5278
4,19.5278
4,19.5278
4,19.518
4,19.5278
4,19.5278
4,19.518
4,19.5082
4,19.5082
4,19.4984
4,19.4788
4,19.4984
4,19.4886
4,19.469
4,19.4788
4,19.4788
4,19.469
4,19.4592
4,19.4494
4,19.4396
4,19.4494
4,19.4396
4,19.4298
4,19.4298
4,19.4298
4,19.4298
4,19.4298
4,19.42
4,19.42
4,19.42
4,19.42
4,19.42
4,19.3906
4,19.4004
4,19.3808
4,19.3808
4,19.3808
4,19.3808
4,19.3808
4,19.371
4,19.371
4,19.3514
4,19.3612
4,19.3514
4,19.371
4,19.3612
4,19.3612
4,19.371
4,19.371
4,19.371
4,19.3612
4,19.371
4,19.3416
4,19.3318
4,19.3416
4,19.3122
4,19.3122
4,19.322
4,19.3024
4,19.3024
4,19.3024
4,19.3024
4,19.2926
4,19.2632
4,19.2632
4,19.2534
4,19.2436
4,19.2338
4,19.2338
4,19.2338
4,19.224
4,19.224
4,19.224
4,19.2142
4,19.2142
4,19.2044
4,19.2044
4,19.2044
4,19.1946
4,19.1946
4,19.1946
4,19.2044
4,19.1848
4,19.1848
4,19.1848
4,19.1848
4,19.175
4,19.1652
4,19.175
4,19.175
4,19.1652
4,19.1652
4,19.1652
4,19.1652
4,19.1456
4,19.1456
4,19.1358
4,19.1456
4,19.126
4,19.1358
4,19.1358
4,19.126
4,19.126
4,19.1162
4,19.1064
4,19.0868
4,19.1064
4,19.0868
4,19.0868
4,19.0868
4,19.077
4,19.0868
4,19.0966
4,19.077
4,19.0672
4,19.0672
4,19.0476
4,19.0378
4,19.0378
4,19.028
4,19.028
4,19.0084
4,19.0084
4,19.0084
4,19.0084
4,19.0084
4,19.028
4,19.0182
4,19.0084
4,19.0084
4,19.0084
4,18.9986
4,19.0084
4,19.0084
4,18.9986
4,18.9888
4,18.9888
4,18.9888
4,18.9888
4,18.9692
4,18.9692
4,18.9692
4,18.9692
4,18.9692
4,18.9594
4,18.9692
4,18.9594
4,18.9594
4,18.9496
4,18.9496
4,18.9496
4,18.9496
4,18.9496
4,18.9398
4,18.93
4,18.9202
4,18.93
4,18.9202
4,18.9104
4,18.9104
4,18.9202
4,18.9202
4,18.9006
4,18.9104
4,18.9006
4,18.9104
4,18.8908
4,18.8908
4,18.881
4,18.881
4,18.8712
4,18.8516
4,18.8614
4,18.8516
4,18.8712
4,18.8712
4,18.8516
4,18.832
4,18.832
4,18.832
4,18.832
4,18.8124
4,18.8222
4,18.832
4,18.8124
4,18.8124
4,18.8124
4,18.8124
4,18.8124
4,18.8026
4,18.8026
4,18.7928
4,18.7928
4,18.7928
4,18.7928
4,18.7928
4,18.7928
4,18.783
4,18.7732
4,18.7732
4,18.7732
4,18.7536
4,18.7536
4,18.7438
4,18.7242
4,18.734
4,18.7242
4,18.7046
4,18.7144
4,18.7144
4,18.6948
4,18.6948
4,18.6948
4,18.7144
4,18.7046
4,18.6948
4,18.6948
4,18.6948
4,18.685
4,18.6752
4,18.6948
4,18.6752
4,18.685
4,18.6752
4,18.6752
4,18.6752
4,18.6654
4,18.6654
4,18.6654
4,18.6556
4,18.6458
4,18.6556
4,18.6556
4,18.6556
4,18.6556
4,18.6556
4,18.636
4,18.6556
4,18.6556
4,18.636
4,18.636
4,18.6262
4,18.6066
4,18.6066
4,18.587
4,18.5968
4,18.5772
4,18.587
4,18.587
4,18.5772
4,18.5772
4,18.5772
4,18.5674
4,18.5674
4,18.5576
4,18.5576
4,18.5576
4,18.5576
4,18.5576
4,18.5478
4,18.5478
4,18.5282
4,18.538
4,18.5184
4,18.538
4,18.5184
4,18.5086
4,18.5184
4,18.5086
4,18.4988
4,18.4792
4,18.489
4,18.4792
4,18.4792
4,18.489
4,18.489
4,18.4792
4,18.489
4,18.4792
4,18.489
4,18.4792
4,18.4792
4,18.4694
4,18.4596
4,18.4596
4,18.4596
4,18.4498
4,18.4498
4,18.44
4,18.44
4,18.4302
4,18.4302
4,18.4302
4,18.4008
4,18.44
4,18.4302
4,18.4302
4,18.4106
4,18.4106
4,18.4106
4,18.4106
4,18.4008
4,18.4008
4,18.391
4,18.3812
4,18.3812
4,18.3812
4,18.3714
4,18.3714
4,18.3714
4,18.3616
4,18.3616
4,18.342
4,18.3322
4,18.3224
4,18.342
4,18.3322
4,18.342
4,18.342
4,18.342
4,18.3322
4,18.3126
4,18.3224
4,18.3322
4,18.3224
4,18.3224
4,18.3224
4,18.3028
4,18.3126
4,18.3028
4,18.3224
4,18.3028
4,18.3028
4,18.293
4,18.293
4,18.2832
4,18.3028
4,18.3028
4,18.2832
4,18.2734
4,18.2734
4,18.2636
4,18.2636
4,18.2734
4,18.2734
4,18.2636
4,18.2636
4,18.2636
4,18.2538
4,18.2636
4,18.2538
4,18.2538
4,18.2538
4,18.2636
4,18.2538
4,18.244
4,18.2538
4,18.244
4,18.2538
4,18.244
4,18.2636
4,18.2538
4,18.2342
4,18.244
4,18.244
4,18.244
4,18.2244
4,18.2244
4,18.2146
4,18.2048
4,18.2048
4,18.2048
4,18.195
4,18.1852
4,18.195
4,18.1754
4,18.1754
4,18.1656
4,18.1754
4,18.1852
4,18.1754
4,18.1852
4,18.1852
4,18.1852
4,18.195
4,18.1852
4,18.1852
4,18.195
4,18.1852
4,18.1852
4,18.1852
4,18.1852
4,18.1852
4,18.1656
4,18.1754
4,18.1852
4,18.1852
4,18.1558
4,18.1656
4,18.146
4,18.1558
4,18.1656
4,18.1656
4,18.1656
4,18.1656
4,18.1656
4,18.1656
4,18.1656
4,18.1558
4,18.1558
4,18.1362
4,18.146
4,18.146
4,18.146
4,18.1558
4,18.146
4,18.146
4,18.146
4,18.1264
4,18.1264
4,18.1264
4,18.1166
4,18.1068
4,18.1264
4,18.1166
4,18.1264
4,18.1068
4,18.1068
4,18.1068
4,18.0872
4,18.097
4,18.0872
4,18.0872
4,18.1068
4,18.1068
4,18.1166
4,18.1264
4,18.1362
4,18.146
4,18.1656
4,18.1754
4,18.2048
4,18.2538
4,18.2734
4,18.2832
4,18.3224
4,18.342
4,18.342
4,18.342
4,18.3224
4,18.3322
4,18.3224
4,18.3224
4,18.3224
4,18.3224
4,18.3322
4,18.3322
4,18.3322
4,18.3616
4,18.3616
4,18.3616
4,18.3812
4,18.3812
4,18.391
4,18.4008
4,18.4008
4,18.4204
4,18.4204
4,18.4204
4,18.4204
4,18.4204
4,18.4204
4,18.44
4,18.4204
4,18.44
4,18.4204
4,18.44
4,18.44
4,18.44
4,18.4498
4,18.44
4,18.4596
4,18.4694
4,18.4792
4,18.4694
4,18.4694
4,18.4694
4,18.4792
4,18.489
4,18.4988
4,18.5086
4,18.5086
4,18.5184
4,18.5184
4,18.538
4,18.5478
4,18.538
4,18.5478
4,18.5576
4,18.5576
4,18.5478
4,18.5478
4,18.5576
4,18.5674
4,18.5772
4,18.5772
4,18.5772
4,18.5772
4,18.5772
4,18.587
4,18.5968
4,18.6066
4,18.6164
4,18.6262
4,18.636
4,18.6654
4,18.6752
4,18.6752
4,18.6948
4,18.7242
4,18.734
4,18.734
4,18.7536
4,18.7536
4,18.7732
4,18.783
4,18.7928
4,18.8124
4,18.832
4,18.832
4,18.8418
4,18.8614
4,18.8614
4,18.8712
4,18.9104
4,18.9006
4,18.9104
4,18.9104
4,18.93
4,18.9398
4,18.9692
4,18.9888
4,18.9986
4,19.0476
4,19.0574
4,19.0672
4,19.0672
4,19.0966
4,19.126
4,19.1456
4,19.1652
4,19.2044
4,19.2044
4,19.2436
4,19.2436
4,19.2828
4,19.3122
4,19.3318
4,19.3514
4,19.3808
4,19.4102
4,19.4102
4,19.3906
4,19.3906
4,19.4004
4,19.4298
4,19.4396
4,19.4788
4,19.5376
4,19.5768
4,19.6062
4,19.6846
4,19.6846
4,19.7924
4,19.7826
4,19.7924
4,19.8218
4,19.8316
4,19.8316
4,19.8806
4,19.9198
4,19.9296
4,19.9492
4,19.9688
4,19.9786
4,19.9786
4,20.0276
4,20.0472
4,20.0472
4,20.106
4,20.106
4,20.0864
4,20.0962
4,20.1354
4,20.1746
4,20.204
4,20.2138
4,20.2138
4,20.2922
4,20.2824
4,20.3314
4,20.351
4,20.3608
4,20.3608
4,20.3902
4,20.4
4,20.3902
4,20.4196
4,20.4882
4,20.5274
4,20.5176
4,20.5274
4,20.6156
4,20.6352
4,20.6646
4,20.7038
4,20.743
4,20.7626
4,20.7822
4,20.8116
4,20.8214
4,20.8802
4,20.89
4,20.8704
4,20.89
4,20.9194
4,20.9292
4,20.9684
4,20.9782
4,21.0076
4,21.0468
4,21.0272
4,21.0468
4,21.0468
4,21.086
4,21.1056
4,21.1252
4,21.135
4,21.1644
4,21.1938
4,21.2134
4,21.233
4,21.2624
4,21.282
4,21.282
4,21.3114
4,21.38
4,21.4192
4,21.4388
4,21.4486
4,21.4486
4,21.4682
4,21.4878
4,21.4878
4,21.5662
4,21.527
4,21.5564
4,21.6054
4,21.6446
4,21.674
4,21.674
4,21.6936
4,21.7034
4,21.7034
4,21.7132
4,21.7426
4,21.7524
4,21.7622
4,21.7818
4,21.7916
4,21.8112
4,21.8112
4,21.87
4,21.8798
4,21.9092
4,21.919
4,21.9288
4,21.9582
4,21.9778
4,22.0366
4,22.0464
4,22.0464
4,22.0758
4,22.0856
4,22.115
4,22.115
4,22.1052
4,22.1248
4,22.1248
4,22.1248
4,22.1346
4,22.1542
4,22.1836
4,22.2032
4,22.2228
4,22.1934
4,22.2228
4,22.1836
4,22.1444
4,22.1542
4,22.1542
4,22.1934
4,22.2326
4,22.262
4,22.2522
4,22.2424
4,22.262
4,22.3208
4,22.3698
4,22.3796
4,22.4384
4,22.458
4,22.458
4,22.4776
4,22.4678
4,22.4678
4,22.4874
4,22.4776
4,22.4776
4,22.4874
4,22.4972
4,22.5168
4,22.5168
4,22.5364
4,22.4874
4,22.4874
4,22.507
4,22.5658
4,22.5756
4,22.5952
4,22.6148
4,22.6148
4,22.6344
4,22.6344
4,22.6442
4,22.6148
4,22.6344
4,22.6638
4,22.654
4,22.6442
4,22.6638
4,22.6736
4,22.6834
4,22.6932
4,22.7128
4,22.6932
4,22.7128
4,22.703
4,22.7128
4,22.7324
4,22.7912
4,22.7912
4,22.7814
4,22.8108
4,22.8304
4,22.8304
4,22.8206
4,22.85
4,22.85
4,22.85
4,22.8304
4,22.8304
4,22.8598
4,22.9088
4,22.9088
4,22.9284
4,22.948
4,22.9676
4,22.9186
4,22.9284
4,22.9578
4,22.9088
4,22.948
4,22.9676
4,23.0068
4,23.0166
4,23.046
4,23.0656
4,23.0264
4,23.0558
4,23.0264
4,23.1146
4,23.1146
4,23.1048
4,23.1342
4,23.1342
